GO_Group	SRC	ARC	SP2C	AP2C	AP0C	SP0C
sulfur amino acid metabolic process	NA	NA	1246	NA	1312	NA
sulfur compound metabolic process	NA	NA	725	720	778	NA
vesicle-mediated transport	NA	NA	-351	-344	-343	NA
chromosome segregation	NA	NA	1146	1503	NA	NA
death	NA	NA	-426	-402	NA	NA
defense response	NA	NA	-785	-539	NA	NA
defense response to other organism	NA	NA	-1097	-1059	NA	NA
fatty acid beta-oxidation	NA	NA	1939	1979	NA	NA
fatty acid catabolic process	NA	NA	1844	1322	NA	NA
immune effector process	NA	NA	-885	-1015	NA	NA
immune response	NA	NA	-993	-640	NA	NA
leukocyte activation	NA	NA	-994	-1092	NA	NA
leukocyte differentiation	NA	NA	-1255	-1060	NA	NA
leukotriene metabolic process	NA	NA	2814	2420	NA	NA
long-chain fatty acid metabolic process	NA	NA	1730	1321	NA	NA
lymphocyte differentiation	NA	NA	-1449	-1074	NA	NA
meiotic nuclear division	NA	NA	1615	1008	NA	NA
mitotic cell cycle	NA	NA	1219	835	NA	NA
monocarboxylic acid catabolic process	NA	NA	1876	1351	NA	NA
NADP metabolic process	NA	NA	2266	2173	NA	NA
negative regulation of inclusion body assembly	NA	NA	-2945	-2642	NA	NA
pathogenesis	NA	NA	2166	2059	NA	NA
pentose-phosphate shunt	NA	NA	2751	2629	NA	NA
peptide catabolic process	NA	NA	2137	2087	NA	NA
positive regulation of defense response	NA	NA	-1355	-1088	NA	NA
positive regulation of immune response	NA	NA	-1491	-1084	NA	NA
positive regulation of immune system process	NA	NA	-913	-702	NA	NA
protein dephosphorylation	NA	NA	-907	-1130	NA	NA
protein-DNA complex assembly	NA	NA	1445	1226	NA	NA
regulation of bone remodeling	NA	NA	-2426	-2502	NA	NA
regulation of immune effector process	NA	NA	-1403	-1147	NA	NA
regulation of immune response	NA	NA	-973	-855	NA	NA
regulation of innate immune response	NA	NA	-1260	-921	NA	NA
regulation of interleukin-2 production	NA	NA	-2429	-2331	NA	NA
regulation of protein metabolic process	NA	NA	-413	-323	NA	NA
regulation of response to stress	NA	NA	-474	-459	NA	NA
response to virus	NA	NA	-982	-986	NA	NA
unsaturated fatty acid metabolic process	NA	NA	1708	1466	NA	NA
ossification	NA	NA	-1284	NA	NA	-1357
oxidoreduction coenzyme metabolic process	NA	NA	2029	NA	NA	1605
peptidyl-proline modification	NA	NA	1867	NA	NA	1388
positive regulation of blood coagulation	NA	NA	-2834	NA	NA	-2293
regulation of cell division	NA	NA	1170	NA	NA	1112
steroid metabolic process	NA	NA	851	NA	NA	814
alpha-amino acid biosynthetic process	NA	NA	NA	1046	1223	NA
calcium ion transmembrane transport	NA	NA	NA	-834	-725	-780
carbohydrate metabolic process	NA	NA	NA	495	368	NA
cell fate commitment involved in formation of primary germ layer	NA	NA	NA	-2768	-2469	NA
cell motility	NA	NA	NA	-521	-752	NA
cellular aldehyde metabolic process	NA	NA	NA	2285	1457	NA
cellular amino acid biosynthetic process	NA	NA	NA	990	1119	NA
cellular amino acid metabolic process	NA	NA	NA	521	709	NA
cellular component assembly involved in morphogenesis	NA	NA	NA	-806	-675	1157
cellular component biogenesis	NA	NA	NA	802	1061	NA
cellular hormone metabolic process	NA	NA	NA	1137	1614	NA
cellular modified amino acid biosynthetic process	NA	NA	NA	1317	1122	NA
cofactor biosynthetic process	NA	NA	NA	929	1205	NA
electron transport chain	NA	NA	NA	1786	1409	NA
glutathione metabolic process	NA	NA	NA	1468	1325	NA
glycosyl compound biosynthetic process	NA	NA	NA	970	1300	NA
heme metabolic process	NA	NA	NA	1896	1966	NA
histone H3-K4 trimethylation	NA	NA	NA	-3347	-2584	NA
hydrogen transport	NA	NA	NA	1033	1229	NA
locomotion	NA	NA	NA	-546	-682	NA
mitotic spindle elongation	NA	NA	NA	3234	2602	NA
myeloid leukocyte activation	NA	NA	NA	-1730	-1674	NA
negative regulation of developmental process	NA	NA	NA	-643	-874	NA
organ development	NA	NA	NA	-395	-343	NA
organelle localization	NA	NA	NA	-1368	-1364	NA
peptide metabolic process	NA	NA	NA	1120	1140	NA
peptidyl-amino acid modification	NA	NA	NA	-488	-354	489
peptidyl-tyrosine phosphorylation	NA	NA	NA	-1012	-716	NA
positive regulation of molecular function	NA	NA	NA	-387	-307	NA
positive regulation of transport	NA	NA	NA	-553	-583	NA
primary alcohol metabolic process	NA	NA	NA	1695	2822	1773
protein modification by small protein removal	NA	NA	NA	-1035	-1004	NA
regulation of anatomical structure morphogenesis	NA	NA	NA	-529	-672	NA
regulation of cell differentiation	NA	NA	NA	-607	-504	NA
regulation of cellular localization	NA	NA	NA	-606	-424	NA
regulation of intracellular signal transduction	NA	NA	NA	-541	-413	NA
regulation of myeloid cell differentiation	NA	NA	NA	-1392	-1139	NA
regulation of organ morphogenesis	NA	NA	NA	-940	-888	NA
regulation of Rho protein signal transduction	NA	NA	NA	-1205	-1095	NA
regulation of small GTPase mediated signal transduction	NA	NA	NA	-978	-895	NA
response to external stimulus	NA	NA	NA	-471	-342	NA
ribonucleoprotein complex biogenesis	NA	NA	NA	909	1054	NA
rRNA metabolic process	NA	NA	NA	895	909	NA
tissue morphogenesis	NA	NA	NA	-887	-559	NA
aminoglycan catabolic process	NA	NA	NA	1460	NA	-1449
negative regulation of biosynthetic process	NA	NA	NA	-347	NA	707
negative regulation of protein metabolic process	NA	NA	NA	-728	NA	624
peptidyl-lysine modification	NA	NA	NA	-885	NA	1032
regulation of chromatin organization	NA	NA	NA	-1367	NA	1670
extracellular structure organization	NA	NA	NA	NA	-629	-1049
regulation of vasodilation	NA	NA	NA	NA	-1632	-2042
retinol metabolic process	NA	NA	NA	NA	2882	2056
vitamin metabolic process	NA	NA	NA	NA	1421	1262
