Query	Hit_Accession	Hit_Description
AIPGENE35	sp|Q9Y2G8|DJC16_HUMAN	DnaJ homolog subfamily C member 16 OS=Homo sapiens GN=DNAJC16 PE=2 SV=3
AIPGENE36	sp|P10394|POL4_DROME	Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster GN=POL PE=4 SV=1
AIPGENE37	sp|Q6GQV7|EDRF1_MOUSE	Erythroid differentiation-related factor 1 OS=Mus musculus GN=Edrf1 PE=2 SV=1
AIPGENE38		
AIPGENE39	tr|X1X1J6|X1X1J6_ACYPI	Uncharacterized protein OS=Acyrthosiphon pisum PE=4 SV=1
AIPGENE40	tr|I1FX93|I1FX93_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE41		
AIPGENE42	tr|W4YQ55|W4YQ55_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PppL_118 PE=4 SV=1
AIPGENE43	sp|P14381|YTX2_XENLA	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1
AIPGENE44	tr|Q90Z50|Q90Z50_TAKRU	Putative reverse transcriptase OS=Takifugu rubripes PE=4 SV=1
AIPGENE45	sp|Q48476|RFBB1_KLEPN	O-antigen export system ATP-binding protein RfbB OS=Klebsiella pneumoniae GN=rfbB PE=3 SV=1
AIPGENE46		
AIPGENE47	sp|Q95SX7|RTBS_DROME	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1
AIPGENE48	sp|Q8TDD1|DDX54_HUMAN	ATP-dependent RNA helicase DDX54 OS=Homo sapiens GN=DDX54 PE=1 SV=2
AIPGENE49	sp|Q80T32|GP133_MOUSE	Probable G-protein coupled receptor 133 OS=Mus musculus GN=Gpr133 PE=2 SV=2
AIPGENE50	sp|P30730|LSHR_MOUSE	Lutropin-choriogonadotropic hormone receptor OS=Mus musculus GN=Lhcgr PE=2 SV=1
AIPGENE51	sp|Q4R6V2|TCPE_MACFA	T-complex protein 1 subunit epsilon OS=Macaca fascicularis GN=CCT5 PE=2 SV=1
AIPGENE52	sp|P19579|CAPA_BACAN	Capsule biosynthesis protein CapA OS=Bacillus anthracis GN=capA PE=2 SV=2
AIPGENE53		
AIPGENE54	sp|Q04887|SOX9_MOUSE	Transcription factor SOX-9 OS=Mus musculus GN=Sox9 PE=2 SV=2
AIPGENE55	gi|390366842|ref|XP_782064.3|	PREDICTED: coiled-coil domain-containing protein 57-like [Strongylocentrotus purpuratus]
AIPGENE56	sp|P48051|KCNJ6_HUMAN	G protein-activated inward rectifier potassium channel 2 OS=Homo sapiens GN=KCNJ6 PE=1 SV=1
AIPGENE57	sp|Q6P5D8|SMHD1_MOUSE	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus GN=Smchd1 PE=1 SV=2
AIPGENE58	sp|Q6P5D8|SMHD1_MOUSE	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus GN=Smchd1 PE=1 SV=2
AIPGENE59	sp|P48548|KCNJ5_RAT	G protein-activated inward rectifier potassium channel 4 OS=Rattus norvegicus GN=Kcnj5 PE=1 SV=2
AIPGENE60	sp|Q9D3V1|IQCD_MOUSE	IQ domain-containing protein D OS=Mus musculus GN=Iqcd PE=2 SV=1
AIPGENE61	sp|Q8VCE2|GPN1_MOUSE	GPN-loop GTPase 1 OS=Mus musculus GN=Gpn1 PE=1 SV=1
AIPGENE62	sp|Q6PHN1|CCD57_MOUSE	Coiled-coil domain-containing protein 57 OS=Mus musculus GN=Ccdc57 PE=2 SV=1
AIPGENE63	sp|O43291|SPIT2_HUMAN	Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2 PE=1 SV=2
AIPGENE64	sp|O43291|SPIT2_HUMAN	Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2 PE=1 SV=2
AIPGENE65	sp|O43291|SPIT2_HUMAN	Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2 PE=1 SV=2
AIPGENE66	sp|Q3U3R4|LMF1_MOUSE	Lipase maturation factor 1 OS=Mus musculus GN=Lmf1 PE=1 SV=1
AIPGENE67	sp|C3VPR6|NLRC5_MOUSE	Protein NLRC5 OS=Mus musculus GN=Nlrc5 PE=1 SV=2
AIPGENE68	sp|Q6DFF5|SOX9B_XENLA	Transcription factor Sox-9-B OS=Xenopus laevis GN=sox9-b PE=2 SV=1
AIPGENE69	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE70	sp|P49656|KCNJ2_RABIT	Inward rectifier potassium channel 2 OS=Oryctolagus cuniculus GN=KCNJ2 PE=2 SV=1
AIPGENE71	sp|Q868Z9|PPN_DROME	Papilin OS=Drosophila melanogaster GN=Ppn PE=1 SV=2
AIPGENE72		
AIPGENE73	sp|P82861|ADRO_SALFO	NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Salvelinus fontinalis GN=fdxr PE=2 SV=1
AIPGENE74	tr|W4YDX2|W4YDX2_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1
AIPGENE75	tr|G3MGK4|G3MGK4_9ACAR	Putative uncharacterized protein (Fragment) OS=Amblyomma maculatum PE=2 SV=1
AIPGENE76	tr|A7SXV5|A7SXV5_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g219227 PE=4 SV=1
AIPGENE77	sp|P71359|RECQ_HAEIN	ATP-dependent DNA helicase RecQ OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=recQ PE=3 SV=1
AIPGENE78	tr|A7SXV5|A7SXV5_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g219227 PE=4 SV=1
AIPGENE79	sp|P0CT39|TF26_SCHPO	Transposon Tf2-6 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-6 PE=3 SV=1
AIPGENE80	sp|Q1KL13|HXA4A_TAKRU	Homeobox protein Hox-A4a OS=Takifugu rubripes GN=hoxa4a PE=3 SV=1
AIPGENE81		
AIPGENE82		
AIPGENE83		
AIPGENE84	sp|O93530|WRN_XENLA	Werner syndrome ATP-dependent helicase homolog OS=Xenopus laevis GN=wrn PE=2 SV=1
AIPGENE85	tr|C3ZUM2|C3ZUM2_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_127392 PE=4 SV=1
AIPGENE86	tr|A7SS82|A7SS82_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g247073 PE=4 SV=1
AIPGENE87	tr|C3Z6P0|C3Z6P0_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_106251 PE=4 SV=1
AIPGENE88		
AIPGENE89	tr|A7SS82|A7SS82_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g247073 PE=4 SV=1
AIPGENE90	tr|W4YAW9|W4YAW9_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Hypp_2054 PE=4 SV=1
AIPGENE91	tr|K7K0I1|K7K0I1_NASVI	Uncharacterized protein OS=Nasonia vitripennis PE=4 SV=1
AIPGENE92	tr|A7T018|A7T018_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g220217 PE=4 SV=1
AIPGENE93	sp|Q6AYJ1|RECQ1_RAT	ATP-dependent DNA helicase Q1 OS=Rattus norvegicus GN=Recql PE=2 SV=1
AIPGENE94	tr|C3Y9A8|C3Y9A8_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_68052 PE=4 SV=1
AIPGENE95	sp|P08548|LIN1_NYCCO	LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=1 SV=1
AIPGENE96	sp|Q09575|YRD6_CAEEL	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1
AIPGENE97	tr|I1GGT7|I1GGT7_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE98	gi|291227261|ref|XP_002733611.1|	PREDICTED: uncharacterized protein LOC100377770 [Saccoglossus kowalevskii]
AIPGENE99		
AIPGENE100	tr|W4YG18|W4YG18_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-Veb4 PE=4 SV=1
AIPGENE101		
AIPGENE102	tr|C3YNB6|C3YNB6_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_76899 PE=4 SV=1
AIPGENE103	tr|I1GFD9|I1GFD9_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE104		
AIPGENE105	tr|C3YY28|C3YY28_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_79909 PE=4 SV=1
AIPGENE106	tr|I1ESY7|I1ESY7_AMPQE	Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE107	tr|W4Z0I4|W4Z0I4_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PppL_129 PE=4 SV=1
AIPGENE108		
AIPGENE109	sp|Q5F4A1|G2E3_CHICK	G2/M phase-specific E3 ubiquitin-protein ligase OS=Gallus gallus GN=G2E3 PE=2 SV=1
AIPGENE110		
AIPGENE111	tr|C3Z0W0|C3Z0W0_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_131122 PE=4 SV=1
AIPGENE112	tr|A0A015M8P9|A0A015M8P9_9GLOM	Uncharacterized protein OS=Rhizophagus irregularis DAOM 197198w GN=RirG_154470 PE=4 SV=1
AIPGENE113	gi|449687053|ref|XP_004211340.1|	PREDICTED: uncharacterized protein LOC101236325 [Hydra vulgaris]
AIPGENE114		
AIPGENE115	sp|Q8INF0|GCY8E_DROME	Soluble guanylate cyclase 88E OS=Drosophila melanogaster GN=Gyc88E PE=1 SV=3
AIPGENE116		
AIPGENE117	gi|156341438|ref|XP_001620760.1|	hypothetical protein NEMVEDRAFT_v1g222736 [Nematostella vectensis] >gi|156206068|gb|EDO28660.1| predicted protein [Nematostella vectensis]
AIPGENE118	sp|P12259|FA5_HUMAN	Coagulation factor V OS=Homo sapiens GN=F5 PE=1 SV=4
AIPGENE119	tr|A7RVT1|A7RVT1_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1
AIPGENE120	tr|A7S7J3|A7S7J3_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g208016 PE=3 SV=1
AIPGENE121	tr|A7SD49|A7SD49_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g210422 PE=4 SV=1
AIPGENE122	sp|O70244|CUBN_RAT	Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2
AIPGENE123	sp|Q9UBS8|RNF14_HUMAN	E3 ubiquitin-protein ligase RNF14 OS=Homo sapiens GN=RNF14 PE=1 SV=1
AIPGENE124	sp|D4A666|UBN2_RAT	Ubinuclein-2 OS=Rattus norvegicus GN=Ubn2 PE=3 SV=1
AIPGENE125	sp|D4A666|UBN2_RAT	Ubinuclein-2 OS=Rattus norvegicus GN=Ubn2 PE=3 SV=1
AIPGENE126	sp|O43159|RRP8_HUMAN	Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=2
AIPGENE127	sp|Q8K2Y0|RN219_MOUSE	RING finger protein 219 OS=Mus musculus GN=Rnf219 PE=2 SV=2
AIPGENE128	sp|Q9H6E4|CC134_HUMAN	Coiled-coil domain-containing protein 134 OS=Homo sapiens GN=CCDC134 PE=1 SV=1
AIPGENE129	sp|O70244|CUBN_RAT	Cubilin OS=Rattus norvegicus GN=Cubn PE=1 SV=2
AIPGENE130	sp|Q9BVK2|ALG8_HUMAN	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase OS=Homo sapiens GN=ALG8 PE=1 SV=2
AIPGENE131	tr|B9LHE5|B9LHE5_CHLSY	Autotransporter-associated beta strand repeat protein (Precursor) OS=Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl) GN=Chy400_0215 PE=4 SV=1
AIPGENE132	tr|B9LHE5|B9LHE5_CHLSY	Autotransporter-associated beta strand repeat protein (Precursor) OS=Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl) GN=Chy400_0215 PE=4 SV=1
AIPGENE133	sp|O08746|MATN2_MOUSE	Matrilin-2 OS=Mus musculus GN=Matn2 PE=2 SV=2
AIPGENE134	sp|Q9VCA2|ORCT_DROME	Organic cation transporter protein OS=Drosophila melanogaster GN=Orct PE=1 SV=1
AIPGENE135	sp|O14829|PPE1_HUMAN	Serine/threonine-protein phosphatase with EF-hands 1 OS=Homo sapiens GN=PPEF1 PE=1 SV=1
AIPGENE136	sp|A2A3V2|S2543_MOUSE	Solute carrier family 25 member 43 OS=Mus musculus GN=Slc25a43 PE=2 SV=1
AIPGENE137	sp|Q9Y2U8|MAN1_HUMAN	Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2
AIPGENE138	sp|P33724|CAV1_CANFA	Caveolin-1 OS=Canis familiaris GN=CAV1 PE=1 SV=1
AIPGENE139	sp|O97394|SDK_DROME	Protein sidekick OS=Drosophila melanogaster GN=sdk PE=1 SV=2
AIPGENE140	sp|O97394|SDK_DROME	Protein sidekick OS=Drosophila melanogaster GN=sdk PE=1 SV=2
AIPGENE141	tr|T1KFP4|T1KFP4_TETUR	Uncharacterized protein OS=Tetranychus urticae PE=3 SV=1
AIPGENE142	sp|P51523|ZNF84_HUMAN	Zinc finger protein 84 OS=Homo sapiens GN=ZNF84 PE=1 SV=2
AIPGENE143	sp|Q5F452|MTMR8_CHICK	Myotubularin-related protein 8 OS=Gallus gallus GN=MTMR8 PE=2 SV=1
AIPGENE144	sp|O77457|T23O_ANOGA	Tryptophan 2,3-dioxygenase OS=Anopheles gambiae GN=AGAP002721 PE=2 SV=1
AIPGENE145	sp|Q62784|INP4A_RAT	Type I inositol 3,4-bisphosphate 4-phosphatase OS=Rattus norvegicus GN=Inpp4a PE=1 SV=1
AIPGENE146	sp|P15374|UCHL3_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens GN=UCHL3 PE=1 SV=1
AIPGENE147	sp|Q5RED7|AGK_PONAB	Acylglycerol kinase, mitochondrial OS=Pongo abelii GN=AGK PE=2 SV=1
AIPGENE148	sp|Q5ZL74|VAMP7_CHICK	Vesicle-associated membrane protein 7 OS=Gallus gallus GN=VAMP7 PE=2 SV=1
AIPGENE149	sp|Q9JJJ7|PORCN_MOUSE	Protein-cysteine N-palmitoyltransferase porcupine OS=Mus musculus GN=Porcn PE=1 SV=1
AIPGENE150	sp|Q4GZT3|PKD2_BOVIN	Polycystin-2 OS=Bos taurus GN=PKD2 PE=2 SV=1
AIPGENE151	sp|O95671|ASML_HUMAN	N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3
AIPGENE152	sp|P48040|MTR1A_SHEEP	Melatonin receptor type 1A OS=Ovis aries GN=MTNR1A PE=2 SV=1
AIPGENE153	tr|V9TZD6|V9TZD6_PSEAI	3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase OS=Pseudomonas aeruginosa SCV20265 GN=SCV20265_2220 PE=4 SV=1
AIPGENE154	sp|F1QN74|ZMY10_DANRE	Zinc finger MYND domain-containing protein 10 OS=Danio rerio GN=zmynd10 PE=2 SV=1
AIPGENE155	sp|F1QN74|ZMY10_DANRE	Zinc finger MYND domain-containing protein 10 OS=Danio rerio GN=zmynd10 PE=2 SV=1
AIPGENE156	sp|Q2KIQ4|COQ2_BOVIN	4-hydroxybenzoate polyprenyltransferase, mitochondrial OS=Bos taurus GN=COQ2 PE=2 SV=1
AIPGENE157	sp|Q32L31|HMGB3_BOVIN	High mobility group protein B3 OS=Bos taurus GN=HMGB3 PE=2 SV=2
AIPGENE158	sp|Q9W5E1|RBX1A_DROME	RING-box protein 1A OS=Drosophila melanogaster GN=Roc1a PE=1 SV=1
AIPGENE159	sp|P46824|KLC_DROME	Kinesin light chain OS=Drosophila melanogaster GN=Klc PE=1 SV=1
AIPGENE160	sp|P46824|KLC_DROME	Kinesin light chain OS=Drosophila melanogaster GN=Klc PE=1 SV=1
AIPGENE161		
AIPGENE162	sp|O35738|KLF12_MOUSE	Krueppel-like factor 12 OS=Mus musculus GN=Klf12 PE=2 SV=2
AIPGENE163	sp|Q63073|BTG1_RAT	Protein BTG1 OS=Rattus norvegicus GN=Btg1 PE=2 SV=1
AIPGENE164	gi|156408039|ref|XP_001641664.1|	predicted protein [Nematostella vectensis] >gi|156228804|gb|EDO49601.1| predicted protein [Nematostella vectensis]
AIPGENE165	sp|Q6ZVD7|STOX1_HUMAN	Storkhead-box protein 1 OS=Homo sapiens GN=STOX1 PE=1 SV=2
AIPGENE166	sp|Q99MK9|RASF1_MOUSE	Ras association domain-containing protein 1 OS=Mus musculus GN=Rassf1 PE=2 SV=1
AIPGENE167	sp|O95671|ASML_HUMAN	N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3
AIPGENE168	tr|A7RN86|A7RN86_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g199611 PE=4 SV=1
AIPGENE169	sp|Q8NA54|IQUB_HUMAN	IQ and ubiquitin-like domain-containing protein OS=Homo sapiens GN=IQUB PE=1 SV=2
AIPGENE170	sp|Q5XK67|RPAC2_XENLA	DNA-directed RNA polymerases I and III subunit RPAC2 OS=Xenopus laevis GN=polr1d PE=3 SV=1
AIPGENE171	tr|A7T1B4|A7T1B4_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g220839 PE=4 SV=1
AIPGENE172	sp|Q5SQX6|CYFP2_MOUSE	Cytoplasmic FMR1-interacting protein 2 OS=Mus musculus GN=Cyfip2 PE=1 SV=2
AIPGENE173	sp|O02721|LSHR_CALJA	Lutropin-choriogonadotropic hormone receptor OS=Callithrix jacchus GN=LHCGR PE=2 SV=1
AIPGENE174	sp|Q91784|KIF4_XENLA	Chromosome-associated kinesin KIF4 OS=Xenopus laevis GN=kif4 PE=2 SV=1
AIPGENE175	sp|Q86TI0|TBCD1_HUMAN	TBC1 domain family member 1 OS=Homo sapiens GN=TBC1D1 PE=1 SV=2
AIPGENE176	sp|P49596|PP2C2_CAEEL	Probable protein phosphatase 2C T23F11.1 OS=Caenorhabditis elegans GN=ppm-2 PE=3 SV=2
AIPGENE177		
AIPGENE178	sp|Q9WVF8|TUSC2_MOUSE	Tumor suppressor candidate 2 OS=Mus musculus GN=Tusc2 PE=1 SV=3
AIPGENE179	sp|P57102|HAND2_DANRE	Heart- and neural crest derivatives-expressed protein 2 OS=Danio rerio GN=hand2 PE=2 SV=1
AIPGENE180		
AIPGENE181		
AIPGENE182	sp|P50426|GNS_CAPHI	N-acetylglucosamine-6-sulfatase OS=Capra hircus GN=GNS PE=2 SV=1
AIPGENE183	sp|Q8UW76|TBX20_CHICK	T-box transcription factor TBX20 OS=Gallus gallus GN=TBX20 PE=2 SV=1
AIPGENE184	sp|Q13887|KLF5_HUMAN	Krueppel-like factor 5 OS=Homo sapiens GN=KLF5 PE=1 SV=2
AIPGENE185	sp|P69527|AMPO_RAT	Aminopeptidase O OS=Rattus norvegicus GN=Aopep PE=2 SV=1
AIPGENE186	sp|Q96QF7|ACRC_HUMAN	Acidic repeat-containing protein OS=Homo sapiens GN=ACRC PE=2 SV=1
AIPGENE187	sp|Q29504|UBA1_RABIT	Ubiquitin-like modifier-activating enzyme 1 OS=Oryctolagus cuniculus GN=UBA1 PE=2 SV=1
AIPGENE188	sp|Q54RJ6|Y5363_DICDI	Fido domain-containing protein DDB_G0283145 OS=Dictyostelium discoideum GN=DDB_G0283145 PE=4 SV=2
AIPGENE189	sp|Q29H55|MB21L_DROPS	Protein mab-21-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18415 PE=3 SV=1
AIPGENE190	sp|Q9Z255|UBE2A_MOUSE	Ubiquitin-conjugating enzyme E2 A OS=Mus musculus GN=Ube2a PE=2 SV=1
AIPGENE191	sp|Q6ZPR1|K1430_MOUSE	UPF0501 protein KIAA1430 OS=Mus musculus GN=Kiaa1430 PE=1 SV=2
AIPGENE192	sp|Q5ZMS6|TDRD3_CHICK	Tudor domain-containing protein 3 OS=Gallus gallus GN=TDRD3 PE=2 SV=1
AIPGENE193	sp|Q9CSH3|RRP44_MOUSE	Exosome complex exonuclease RRP44 OS=Mus musculus GN=Dis3 PE=2 SV=4
AIPGENE194	sp|P57102|HAND2_DANRE	Heart- and neural crest derivatives-expressed protein 2 OS=Danio rerio GN=hand2 PE=2 SV=1
AIPGENE195	tr|A7S7J3|A7S7J3_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g208016 PE=3 SV=1
AIPGENE196		
AIPGENE197	sp|Q5RG49|ACSF4_DANRE	Acyl-CoA synthetase family member 4 OS=Danio rerio GN=aasdh PE=3 SV=1
AIPGENE198	tr|A7RN86|A7RN86_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g199611 PE=4 SV=1
AIPGENE199	sp|Q90435|PO4F3_DANRE	POU domain, class 4, transcription factor 3 OS=Danio rerio GN=pou4f3 PE=2 SV=2
AIPGENE200		
AIPGENE201	sp|Q923S9|RAB30_MOUSE	Ras-related protein Rab-30 OS=Mus musculus GN=Rab30 PE=2 SV=1
AIPGENE202	sp|O94539|PAM17_SCHPO	Presequence translocated-associated motor subunit pam17, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=pam17 PE=3 SV=2
AIPGENE203	sp|Q9EQV6|TPP1_RAT	Tripeptidyl-peptidase 1 OS=Rattus norvegicus GN=Tpp1 PE=1 SV=1
AIPGENE204	sp|Q9BVL2|NUPL1_HUMAN	Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1
AIPGENE205	sp|Q9U539|OCT1_CAEEL	Organic cation transporter 1 OS=Caenorhabditis elegans GN=oct-1 PE=1 SV=3
AIPGENE206	tr|I1EW40|I1EW40_AMPQE	Uncharacterized protein (Fragment) OS=Amphimedon queenslandica PE=4 SV=1
AIPGENE207	sp|P91580|RAB33_CIOIN	Putative Ras-related protein Rab-33 OS=Ciona intestinalis GN=COS41.2 PE=3 SV=1
AIPGENE208	sp|Q9EQD2|NPFF2_RAT	Neuropeptide FF receptor 2 OS=Rattus norvegicus GN=Npffr2 PE=2 SV=1
AIPGENE209	sp|O43759|SNG1_HUMAN	Synaptogyrin-1 OS=Homo sapiens GN=SYNGR1 PE=1 SV=2
AIPGENE210	sp|Q9CZK6|ANKS3_MOUSE	Ankyrin repeat and SAM domain-containing protein 3 OS=Mus musculus GN=Anks3 PE=2 SV=2
AIPGENE211		
AIPGENE212	sp|Q61880|DMC1_MOUSE	Meiotic recombination protein DMC1/LIM15 homolog OS=Mus musculus GN=Dmc1 PE=1 SV=1
AIPGENE213		
AIPGENE214	tr|A7RKI0|A7RKI0_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g238928 PE=3 SV=1
AIPGENE215	sp|Q13472|TOP3A_HUMAN	DNA topoisomerase 3-alpha OS=Homo sapiens GN=TOP3A PE=1 SV=1
AIPGENE216	sp|Q9W6R5|XLRS1_TAKRU	Retinoschisin OS=Takifugu rubripes GN=xlrs1 PE=3 SV=1
AIPGENE217	sp|Q29S22|DDX47_BOVIN	Probable ATP-dependent RNA helicase DDX47 OS=Bos taurus GN=DDX47 PE=2 SV=1
AIPGENE218	tr|A7SD04|A7SD04_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g210354 PE=4 SV=1
